2018-07-25 12:45:12,mysql-bin.000039,3044
2018-07-26 10:30:36,mysql-bin.000044,855
2018-07-26 17:50:10,mysql-bin.000044,855
2018-07-27 01:46:34,mysql-bin.000044,855
2018-07-27 07:46:35,mysql-bin.000044,855
2018-07-27 15:29:25,mysql-bin.000044,855
2018-08-06 22:41:42,mysql-bin.000044,3369848
2018-08-07 04:41:43,mysql-bin.000044,3369848
2018-08-07 10:41:51,mysql-bin.000044,3370109
2018-08-07 18:27:33,mysql-bin.000044,3370109
2018-08-08 16:28:57,mysql-bin.000044,3903667
2018-08-09 15:21:12,mysql-bin.000044,3903667
2018-08-10 10:27:45,mysql-bin.000044,4573210
